,日期,昼夜天气状况,昼夜温度
0,2023年02月01日,多云/多云,-2℃/4℃
1,2023年02月02日,多云/多云,-2℃/2℃
2,2023年02月03日,多云/晴,-1℃/4℃
3,2023年02月04日,晴/晴,0℃/6℃
4,2023年02月05日,晴/多云,3℃/6℃
5,2023年02月06日,多云/多云,1℃/8℃
6,2023年02月07日,多云/多云,1℃/6℃
7,2023年02月08日,多云/多云,1℃/6℃
8,2023年02月09日,阴/多云,1℃/5℃
9,2023年02月10日,晴/多云,3℃/8℃
10,2023年02月11日,多云/阴,4℃/7℃
11,2023年02月12日,小雨/雨夹雪,1℃/5℃
12,2023年02月13日,多云/晴,-2℃/4℃
13,2023年02月14日,晴/晴,-3℃/5℃
14,2023年02月15日,晴/晴,-3℃/4℃
15,2023年02月16日,晴/阴,0℃/5℃
16,2023年02月17日,多云/阴,4℃/7℃
17,2023年02月18日,阴/阴,1℃/9℃
18,2023年02月19日,晴/晴,0℃/8℃
19,2023年02月20日,晴/多云,-1℃/7℃
20,2023年02月21日,多云/多云,-1℃/4℃
21,2023年02月22日,多云/多云,1℃/4℃
22,2023年02月23日,多云/多云,2℃/6℃
23,2023年02月24日,多云/晴,-1℃/8℃
24,2023年02月25日,晴/晴,-1℃/7℃
25,2023年02月26日,晴/晴,1℃/6℃
26,2023年02月27日,晴/晴,4℃/7℃
27,2023年02月28日,阴/晴,3℃/8℃
28,2023年03月01日,晴/晴,1℃/12℃
29,2023年03月02日,晴/多云,2℃/7℃
30,2023年03月03日,多云/晴,5℃/10℃
31,2023年03月04日,晴/晴,6℃/9℃
32,2023年03月05日,晴/晴,7℃/10℃
33,2023年03月06日,晴/晴,6℃/14℃
34,2023年03月07日,晴/晴,8℃/14℃
35,2023年03月08日,晴/晴,5℃/17℃
36,2023年03月09日,晴/晴,7℃/14℃
37,2023年03月10日,晴/阴,10℃/17℃
38,2023年03月11日,多云/阴,5℃/13℃
39,2023年03月12日,晴/晴,3℃/8℃
40,2023年03月13日,晴/晴,7℃/12℃
41,2023年03月14日,晴/晴,7℃/14℃
42,2023年03月15日,晴/晴,3℃/11℃
43,2023年03月16日,阴/阴,5℃/9℃
44,2023年03月17日,阴/多云,3℃/8℃
45,2023年03月18日,晴/晴,4℃/13℃
46,2023年03月19日,晴/晴,7℃/11℃
47,2023年03月20日,多云/多云,8℃/10℃
48,2023年03月21日,多云/阴,8℃/10℃
49,2023年03月22日,小雨/阴,9℃/12℃
50,2023年03月23日,多云/多云,5℃/14℃
51,2023年03月24日,多云/多云,3℃/11℃
52,2023年03月25日,多云/晴,4℃/11℃
53,2023年03月26日,晴/晴,6℃/10℃
54,2023年03月27日,晴/晴,7℃/13℃
55,2023年03月28日,晴/晴,8℃/12℃
56,2023年03月29日,晴/晴,8℃/13℃
57,2023年03月30日,晴/晴,7℃/14℃
58,2023年03月31日,晴/多云,8℃/15℃
59,2023年04月01日,晴/晴,9℃/14℃
60,2023年04月02日,晴/多云,10℃/18℃
61,2023年04月03日,多云/中雨,11℃/15℃
62,2023年04月04日,大雨/小雨,9℃/14℃
63,2023年04月05日,阴/多云,6℃/13℃
64,2023年04月06日,阴/晴,8℃/13℃
65,2023年04月07日,晴/晴,7℃/14℃
66,2023年04月08日,晴/晴,9℃/16℃
67,2023年04月09日,晴/晴,11℃/15℃
68,2023年04月10日,晴/多云,13℃/18℃
69,2023年04月11日,多云/晴,9℃/19℃
70,2023年04月12日,晴/多云,11℃/15℃
71,2023年04月13日,多云/阴,11℃/15℃
72,2023年04月14日,多云/多云,10℃/14℃
73,2023年04月15日,小雨/小雨,9℃/18℃
74,2023年04月16日,晴/晴,11℃/20℃
75,2023年04月17日,多云/阴,13℃/17℃
76,2023年04月18日,多云/晴,11℃/24℃
77,2023年04月19日,晴/小雨,12℃/17℃
78,2023年04月20日,多云/多云,13℃/20℃
79,2023年04月21日,多云/阴,12℃/17℃
80,2023年04月22日,阴/小雨,11℃/17℃
81,2023年04月23日,小雨/小雨,11℃/15℃
82,2023年04月24日,阴/多云,10℃/18℃
83,2023年04月25日,多云/晴,9℃/16℃
84,2023年04月26日,晴/晴,11℃/15℃
85,2023年04月27日,晴/晴,12℃/16℃
86,2023年04月28日,多云/小雨,12℃/17℃
87,2023年04月29日,多云/晴,12℃/20℃
88,2023年04月30日,晴/晴,12℃/22℃
